geonameid;asciiname;latitude;longitude;population;timezone
3039163;Sant Julia de Loria;42.46372;1.49129;8022;Europe/Andorra
3039678;Ordino;42.55623;1.53319;3066;Europe/Andorra
3040051;les Escaldes;42.50729;1.53414;15853;Europe/Andorra
3040132;la Massana;42.54499;1.51483;7211;Europe/Andorra
3040686;Encamp;42.53474;1.58014;11223;Europe/Andorra
3041204;Canillo;42.5676;1.59756;3292;Europe/Andorra
3041563;Andorra la Vella;42.50779;1.52109;20430;Europe/Andorra
290594;Umm al Qaywayn;25.56473;55.55517;44411;Asia/Dubai
291074;Ras al-Khaimah;25.78953;55.9432;115949;Asia/Dubai
291279;Muzayri`;23.14355;53.7881;10000;Asia/Dubai
291696;Khawr Fakkan;25.33132;56.34199;33575;Asia/Dubai
292223;Dubai;25.0657;55.17128;1137347;Asia/Dubai
292231;Dibba Al-Fujairah;25.59246;56.26176;30000;Asia/Dubai
292239;Dibba Al-Hisn;25.61955;56.27291;26395;Asia/Dubai
292672;Sharjah;25.33737;55.41206;543733;Asia/Dubai
292688;Ar Ruways;24.11028;52.73056;16000;Asia/Dubai
292878;Al Fujayrah;25.11641;56.34141;62415;Asia/Dubai
292913;Al Ain;24.19167;55.76056;408733;Asia/Dubai
292932;Ajman;25.41111;55.43504;226172;Asia/Dubai
292953;Adh Dhayd;25.28812;55.88157;24716;Asia/Dubai
292968;Abu Dhabi;24.46667;54.36667;603492;Asia/Dubai
1120483;Kuhsan;34.65389;61.19778;12087;Asia/Kabul
1120487;Tukzar;35.94831;66.42132;12021;Asia/Kabul
1120711;Zindah Jan;34.34264;61.74675;10104;Asia/Kabul
1120863;Zarghun Shahr;32.84734;68.44573;13737;Asia/Kabul
1120879;Zarah Sharan;33.14641;68.79213;7366;Asia/Kabul
1120985;Zaranj;30.95962;61.86037;49851;Asia/Kabul
1121271;Yangi Qal`ah;37.46572;69.61131;6541;Asia/Kabul
1122408;Tir Pul;34.59431;61.26895;6979;Asia/Kabul
1122747;Tarinkot;32.62998;65.87806;10000;Asia/Kabul
1123004;Taloqan;36.73605;69.53451;64256;Asia/Kabul
1123343;Tagaw-Bay;35.69941;66.06164;9096;Asia/Kabul
1123424;Tagab;34.85501;69.64917;6400;Asia/Kabul
1125155;Shindand;33.30294;62.1474;29264;Asia/Kabul
1125444;Shibirghan;36.66757;65.7529;55641;Asia/Kabul
1125896;Shahrak;34.10737;64.3052;15967;Asia/Kabul
1126606;Sidqabad;35.02298;69.35112;7407;Asia/Kabul
1127110;Sar-e Pul;36.21544;65.93249;52121;Asia/Kabul
1127547;Sangin;32.07275;64.8359;13579;Asia/Kabul
1127628;Sang-e Charak;35.84972;66.43694;15377;Asia/Kabul
1127768;Aibak;36.26468;68.01551;47823;Asia/Kabul
1128239;Rudbar;30.15;62.6;11034;Asia/Kabul
1128265;Rustaq;37.12604;69.83045;25636;Asia/Kabul
1129516;Qarqin;37.41853;66.04358;15018;Asia/Kabul
