Country,Tonnes
China,8819717
Indonesia,3216856
Philippines,1883659
Vietnam,1833819
Sri Lanka,1591179
Thailand,1027739
Egypt,967012
Malaysia,936818
Nigeria,851493
Bangladesh,787327
South Africa,630005
India,599819
Algeria,520555
Turkey,485937
Pakistan,480493
Brazil,471404
Myanmar,458269
Morocco,310126
North Korea,304328
United States,275424
