PROPERTY,UNIT,MERCURY,VENUS,EARTH,MOON,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO
Diameter,km,4879,12104,12756,3475,6792,142984,120536,51118,49528,2370
Density,kg/m^3,5427,5243,5514,3340,3933,1326,687,1271,1638,2095
Distance from Sun,10^6 km,57.9,108.2,149.6,0.384*,227.9,778.6,1433.5,2872.5,4495.1,5906.4
